
Sets,Repetitions,Session,time[S],force[Kg]
1,1,work,0,0
,,,0.2,0.7
,,,0.4,1.4
,,,0.6,2.1
,,,0.8,2.8
,,,1,3.5
,,,1.2,4.2
,,,1.4,4.9
,,,1.6,5.6
,,,1.8,6.3
,,,2,7
,,release ,2.2,7
,,,2.4,6.3
,,,2.6,5.6
,,,2.8,4.9
,,,3,4.2
,,,3.2,3.5
,,,3.4,2.8
,,,3.6,2.1
,,,3.8,1.4
,,,4,0.7
,,,4.2,0
,2,work,4.4,0
,,,4.6,0.7
,,,4.8,1.4
,,,5,2.1
,,,5.2,2.8
,,,5.4,3.5
,,,5.6,4.2
,,,5.8,4.9
,,,6,5.6
,,,6.2,6.3
,,,6.4,7
,,release ,6.6,7
,,,6.8,6.3
,,,7,5.6
,,,7.2,4.9
,,,7.4,4.2
,,,7.6,3.5
,,,7.8,2.8
,,,8,2.1
,,,8.2,1.4
,,,8.4,0.7
,,,8.6,0
,3,work,8.8,0
,,,9,0.7
,,,9.2,1.4
,,,9.4,2.1
,,,9.6,2.8
,,,9.8,3.5
,,,10,4.2
,,,10.2,4.9
,,,10.4,5.6
,,,10.6,6.3
,,,10.8,7
,,release ,11,7
,,,11.2,6.3
,,,11.4,5.6
,,,11.6,4.9
,,,11.8,4.2
,,,12,3.5
,,,12.2,2.8
,,,12.4,2.1
,,,12.6,1.4
,,,12.8,0.7
,,,13,0
,4,work,13.2,0
,,,13.4,0.7
,,,13.6,1.4
,,,13.8,2.1
,,,14,2.8
,,,14.2,3.5
,,,14.4,4.2
,,,14.6,4.9
,,,14.8,5.6
,,,15,6.3
,,,15.2,7
,,release ,15.4,7
,,,15.6,6.3
,,,15.8,5.6
,,,16,4.9
,,,16.2,4.2
,,,16.4,3.5
,,,16.6,2.8
,,,16.8,2.1
,,,17,1.4
,,,17.2,0.7
,,,17.4,0
,5,work,17.6,0
,,,17.8,0.7
,,,18,1.4
,,,18.2,2.1
,,,18.4,2.8
,,,18.6,3.5
,,,18.8,4.2
,,,19,4.9
,,,19.2,5.6
,,,19.4,6.3
,,,19.6,7
,,release ,19.8,7
,,,20,6.3
,,,20.2,5.6
,,,20.4,4.9
,,,20.6,4.2
,,,20.8,3.5
,,,21,2.8
,,,21.2,2.1
,,,21.4,1.4
,,,21.6,0.7
,,,21.8,0
,6,work,22,0
,,,22.2,0.7
,,,22.4,1.4
,,,22.6,2.1
,,,22.8,2.8
,,,23,3.5
,,,23.2,4.2
,,,23.4,4.9
,,,23.6,5.6
,,,23.8,6.3
,,,24,7
,,release ,24.2,7
,,,24.4,6.3
,,,24.6,5.6
,,,24.8,4.9
,,,25,4.2
,,,25.2,3.5
,,,25.4,2.8
,,,25.6,2.1
,,,25.8,1.4
,,,26,0.7
,,,26.2,0
,7,work,26.4,0
,,,26.6,0.7
,,,26.8,1.4
,,,27,2.1
,,,27.2,2.8
,,,27.4,3.5
,,,27.6,4.2
,,,27.8,4.9
,,,28,5.6
,,,28.2,6.3
,,,28.4,7
,,release ,28.6,7
,,,28.8,6.3
,,,29,5.6
,,,29.2,4.9
,,,29.4,4.2
,,,29.6,3.5
,,,29.8,2.8
,,,30,2.1
,,,30.2,1.4
,,,30.4,0.7
,,,30.6,0
,8,work,30.8,0
,,,31,0.7
,,,31.2,1.4
,,,31.4,2.1
,,,31.6,2.8
,,,31.8,3.5
,,,32,4.2
,,,32.2,4.9
,,,32.4,5.6
,,,32.6,6.3
,,,32.8,7
,,release ,33,7
,,,33.2,6.3
,,,33.4,5.6
,,,33.6,4.9
,,,33.8,4.2
,,,34,3.5
,,,34.2,2.8
,,,34.4,2.1
,,,34.6,1.4
,,,34.8,0.7
,,,35,0
,9,work,35.2,0
,,,35.4,0.7
,,,35.6,1.4
,,,35.8,2.1
,,,36,2.8
,,,36.2,3.5
,,,36.4,4.2
,,,36.6,4.9
,,,36.8,5.6
,,,37,6.3
,,,37.2,7
,,release ,37.4,7
,,,37.6,6.3
,,,37.8,5.6
,,,38,4.9
,,,38.2,4.2
,,,38.4,3.5
,,,38.6,2.8
,,,38.8,2.1
,,,39,1.4
,,,39.2,0.7
,,,39.4,0
,10,work,39.6,0
,,,39.8,0.7
,,,40,1.4
,,,40.2,2.1
,,,40.4,2.8
,,,40.6,3.5
,,,40.8,4.2
,,,41,4.9
,,,41.2,5.6
,,,41.4,6.3
,,,41.6,7
,,release ,41.8,7
,,,42,6.3
,,,42.2,5.6
,,,42.4,4.9
,,,42.6,4.2
,,,42.8,3.5
,,,43,2.8
,,,43.2,2.1
,,,43.4,1.4
,,,43.6,0.7
,,,43.8,0
